Sample_ID,Date,Sampling_Type,Samples_Collected,Samples_Passed,Processing_Time_Hours,Completion_Status
S001,2026-01-05,Routine,120,112,2.4,On-Time
S002,2026-01-06,Priority,95,91,1.8,On-Time
S003,2026-01-07,Routine,135,121,2.7,Delayed
S004,2026-01-08,Priority,110,104,2.1,On-Time
S005,2026-01-09,Routine,128,116,2.5,On-Time
S006,2026-01-10,Priority,102,97,2.0,On-Time
S007,2026-01-11,Routine,145,130,3.1,Delayed
S008,2026-01-12,Priority,118,111,2.2,On-Time
S009,2026-01-13,Routine,132,120,2.6,On-Time
S010,2026-01-14,Priority,108,102,2.0,On-Time
S011,2026-01-15,Routine,150,136,3.0,Delayed
S012,2026-01-16,Priority,115,109,2.3,On-Time
S013,2026-01-17,Routine,125,114,2.5,On-Time
S014,2026-01-18,Priority,105,100,2.1,On-Time
S015,2026-01-19,Routine,140,127,2.8,Delayed
S016,2026-01-20,Priority,112,106,2.2,On-Time
S017,2026-01-21,Routine,130,119,2.5,On-Time
S018,2026-01-22,Priority,100,95,1.9,On-Time
S019,2026-01-23,Routine,138,125,2.9,Delayed
S020,2026-01-24,Priority,120,114,2.3,On-Time
